product_id,tag,timestamp,user_id,webshop_id
22941,Toys and Games,12/01/2010 10:03,12431,1
21622,Sports and Outdoors,12/01/2010 10:03,12431,3
21791,Books and Literature,12/01/2010 10:03,12431,3
35004C,Electronics,12/01/2010 10:03,12431,3
35004G,Electronics,12/01/2010 10:03,12431,2
85014B,Home and Kitchen,12/01/2010 10:03,12431,1
85014A,Electronics,12/01/2010 10:03,12431,3
22193,Beauty and Personal Care,12/01/2010 10:03,12431,1
22726,Beauty and Personal Care,12/01/2010 10:03,12431,1
22727,Toys and Games,12/01/2010 10:03,12431,2
22192,"Movies, Music, and Entertainment",12/01/2010 10:03,12431,2
22191,Sports and Outdoors,12/01/2010 10:03,12431,2
22195,Fashion and Clothing,12/01/2010 10:03,12431,3
22196,Automotive and Tools,12/01/2010 10:03,12431,1
22567,Beauty and Personal Care,12/08/2010 09:53,12386,2
22915,"Movies, Music, and Entertainment",12/08/2010 09:53,12386,1
22926,Books and Literature,12/08/2010 09:53,12386,2
22953,"Movies, Music, and Entertainment",12/08/2010 09:53,12386,3
21906,Electronics,12/08/2010 09:53,12386,2
22495,Sports and Outdoors,12/08/2010 09:53,12386,2
22555,Books and Literature,12/08/2010 09:53,12386,1
22557,"Movies, Music, and Entertainment",12/08/2010 09:53,12386,1
22333,Beauty and Personal Care,12/14/2010 11:12,12434,1
22094,Home and Kitchen,12/14/2010 11:12,12434,3
21217,Electronics,12/14/2010 11:12,12434,1
48138,Toys and Games,12/17/2010 14:10,12431,3
79067,Fashion and Clothing,12/17/2010 14:10,12431,1
20725,Fashion and Clothing,12/17/2010 14:10,12431,1
85099B,Electronics,12/17/2010 14:10,12431,2
22728,Sports and Outdoors,12/17/2010 14:10,12431,1
22196,Fashion and Clothing,12/17/2010 14:10,12431,1
22195,Electronics,12/17/2010 14:10,12431,3
22219,"Movies, Music, and Entertainment",12/17/2010 14:10,12431,2
20685,Fashion and Clothing,12/17/2010 14:10,12431,1
48138,"Movies, Music, and Entertainment",12/17/2010 14:10,12431,1
22078,Health and Wellness,01/06/2011 11:12,12415,1
22079,Fashion and Clothing,01/06/2011 11:12,12415,3
22080,"Movies, Music, and Entertainment",01/06/2011 11:12,12415,1
22077,Toys and Games,01/06/2011 11:12,12415,3
22505,Beauty and Personal Care,01/06/2011 11:12,12415,2
22516,"Movies, Music, and Entertainment",01/06/2011 11:12,12415,2
22517,Automotive and Tools,01/06/2011 11:12,12415,1
22518,Toys and Games,01/06/2011 11:12,12415,2
22519,"Movies, Music, and Entertainment",01/06/2011 11:12,12415,3
22514,Electronics,01/06/2011 11:12,12415,3
22515,Electronics,01/06/2011 11:12,12415,1
22522,Home and Kitchen,01/06/2011 11:12,12415,1
22524,Home and Kitchen,01/06/2011 11:12,12415,3
22525,Fashion and Clothing,01/06/2011 11:12,12415,3
22933,Sports and Outdoors,01/06/2011 11:12,12415,1
22934,Automotive and Tools,01/06/2011 11:12,12415,1
84218,Health and Wellness,01/06/2011 11:12,12415,1
84228,"Movies, Music, and Entertainment",01/06/2011 11:12,12415,1
22148,Beauty and Personal Care,01/06/2011 11:12,12415,1
22857,Home and Kitchen,01/06/2011 11:12,12415,3
22858,Fashion and Clothing,01/06/2011 11:12,12415,2
22859,Fashion and Clothing,01/06/2011 11:12,12415,1
22860,Fashion and Clothing,01/06/2011 11:12,12415,1
21915,Beauty and Personal Care,01/06/2011 11:12,12415,2
21914,Home and Kitchen,01/06/2011 11:12,12415,2
22492,Automotive and Tools,01/06/2011 11:12,12415,2
22619,"Movies, Music, and Entertainment",01/06/2011 11:12,12415,1
21891,Sports and Outdoors,01/06/2011 11:12,12415,1
22620,Health and Wellness,01/06/2011 11:12,12415,3
22659,Health and Wellness,01/06/2011 11:12,12415,2
22720,Automotive and Tools,01/06/2011 11:12,12415,2
22722,Automotive and Tools,01/06/2011 11:12,12415,1
22692,Electronics,01/06/2011 11:12,12415,2
20685,Automotive and Tools,01/06/2011 11:12,12415,3
22379,Automotive and Tools,01/06/2011 11:12,12415,2
22378,Home and Kitchen,01/06/2011 11:12,12415,3
22354,Sports and Outdoors,01/06/2011 11:12,12415,3
21243,Beauty and Personal Care,01/06/2011 11:12,12415,1
21244,Toys and Games,01/06/2011 11:12,12415,2
